id,sku,item_url,Ключевое слово # (#16),,
1,B10001,https://flower-club.ru/bukety/buket-001,+,,
2,B10002,https://flower-club.ru/bukety/blagodarnost/buket-002,+,,
3,B10003,https://flower-club.ru/bukety/buket-003,,,
4,B10004,https://flower-club.ru/bukety/buket-004,+,,
5,B10005,https://flower-club.ru/bukety/buket-005,,,
6,B10006,https://flower-club.ru/bukety/8-marta/buket-006,+,,
7,B10007,https://flower-club.ru/bukety/skuchayu/buket-007,,,
8,К10008,https://flower-club.ru/bukety/8-marta/buket-008,+,,
9,B10009,https://flower-club.ru/bukety/buket-009,,,
10,B10010,https://flower-club.ru/bukety/buket-010,+,,
11,B10011,https://flower-club.ru/bukety/novyj-god/buket-011,,,
12,B10012,https://flower-club.ru/bukety/prosti/buket-012,+,50?,состав лилии?
13,B10013,https://flower-club.ru/bukety/prosti/buket-013,,,
14,B10014,https://flower-club.ru/bukety/buket-014,+,,
15,B10015,https://flower-club.ru/bukety/traurnye-bukety/buket-015,,,
16,B10016,https://flower-club.ru/bukety/buket-016,+,,
17,B10017,https://flower-club.ru/bukety/dekoratsii/buket-017,,,
18,B10018,https://flower-club.ru/bukety/8-marta/buket-018,+,,
19,B10019,https://flower-club.ru/bukety/novyj-god/buket-019,,,
20,B10020,https://flower-club.ru/bukety/novyj-god/buket-020,+,,
21,B10021,https://flower-club.ru/bukety/skuchayu/buket-021,,,
22,B10022,https://flower-club.ru/bukety/8-marta/buket-022,+,,
23,B10023,https://flower-club.ru/bukety/buket-023,,,
24,B10024,https://flower-club.ru/bukety/khellouin/buket-024,+,,
25,B10025,https://flower-club.ru/bukety/den-vlyublennykh/buket-025,,,
26,B10026,https://flower-club.ru/bukety/den-rozhdeniya/buket-026,+,,
27,B10027,https://flower-club.ru/bukety/den-rozhdeniya/buket-027,,,
28,B10028,https://flower-club.ru/bukety/dlya-muzhchiny/buket-028,+,,
29,B10029,https://flower-club.ru/bukety/den-pobedy/buket-029,,,
30,B10030,https://flower-club.ru/bukety/8-marta/buket-030,+,,
31,B10031,https://flower-club.ru/bukety/8-marta/buket-031,,,
32,B10032,https://flower-club.ru/bukety/8-marta/buket-032,+,,
33,B10033,https://flower-club.ru/oformlenie/buket-033,,,
34,B10034,https://flower-club.ru/bukety/novyj-god/buket-034,,,
35,B10035,https://flower-club.ru/bukety/buket-035,,,
36,B10036,https://flower-club.ru/bukety/blagodarnost/buket-036,+,,
37,B10037,https://flower-club.ru/bukety/buket-037,,,
38,B10038,https://flower-club.ru/bukety/traurnye-bukety/buket-038,+,?,
39,B10039,https://flower-club.ru/bukety/khellouin/buket-039,,,
40,B10040,https://flower-club.ru/oformlenie/buket-040,+,,
41,B10041,https://flower-club.ru/bukety/8-marta/buket-041,,,
42,B10042,https://flower-club.ru/bukety/8-marta/buket-042,+,,
44,B10044,https://flower-club.ru/oformlenie/buket-044,+,,
45,B10045,https://flower-club.ru/bukety/buket-045,,,
46,B10046,https://flower-club.ru/bukety/dekoratsii/buket-046,,,
47,B10047,https://flower-club.ru/oformlenie/buket-047,,,
48,B10048,https://flower-club.ru/oformlenie/buket-048,,,
49,B10049,https://flower-club.ru/bukety/den-rozhdeniya/buket-049,,,
50,B10050,https://flower-club.ru/bukety/buket-050,+,,
51,B10051,https://flower-club.ru/bukety/buket-051,,,
52,B10052,https://flower-club.ru/bukety/8-marta/buket-052,+,,
53,B10053,https://flower-club.ru/bukety/buket-053,,,
54,B10054,https://flower-club.ru/bukety/buket-nevesty/buket-054,+,,
55,B10055,https://flower-club.ru/bukety/buket-055,,,
56,B10056,https://flower-club.ru/bukety/buket-056,+,,
57,B10057,https://flower-club.ru/oformlenie/buket-057,,,
58,B10058,https://flower-club.ru/bukety/dekoratsii/buket-058,,,
59,B10059,https://flower-club.ru/bukety/dlya-detej/buket-059,,,
60,B10060,https://flower-club.ru/bukety/dlya-detej/buket-060,+,,
61,B10061,https://flower-club.ru/bukety/novyj-god/buket-061,,,
62,B10062,https://flower-club.ru/bukety/8-marta/buket-062,+,,
63,B10063,https://flower-club.ru/bukety/khellouin/buket-063,,,
64,B10064,https://flower-club.ru/bukety/buket-064,+,,
65,B10065,https://flower-club.ru/bukety/khellouin/buket-065,,,
66,B10066,https://flower-club.ru/bukety/8-marta/buket-066,+,,
67,B10067,https://flower-club.ru/bukety/den-vlyublennykh/buket-067,,,
68,B10068,https://flower-club.ru/bukety/8-marta/buket-068,+,,
69,B10069,https://flower-club.ru/bukety/den-vlyublennykh/buket-069,,,
70,B10070,https://flower-club.ru/bukety/buket-070,+,,
71,B10071,https://flower-club.ru/bukety/novyj-god/buket-071,,,
72,B10072,https://flower-club.ru/bukety/8-marta/buket-072,+,,
73,B10073,https://flower-club.ru/bukety/den-vlyublennykh/buket-073,,,
74,К10074,https://flower-club.ru/bukety/buket-074,+,,
75,B10075,https://flower-club.ru/bukety/novyj-god/buket-075,,,
76,B10076,https://flower-club.ru/bukety/dlya-detej/buket-076,уточнить,,
77,B10077,https://flower-club.ru/bukety/dekoratsii/buket-077,,,
78,B10078,https://flower-club.ru/bukety/buket-078,+,,
79,B10079,https://flower-club.ru/bukety/buket-079,,,
80,B10080,https://flower-club.ru/bukety/dekoratsii/buket-080,,,
81,B10081,https://flower-club.ru/bukety/buket-081,,,
82,B10082,https://flower-club.ru/bukety/8-marta/buket-082,+,,
83,B10083,https://flower-club.ru/bukety/novyj-god/buket-083,,,
84,B10084,https://flower-club.ru/bukety/8-marta/buket-084,+,,
85,B10085,https://flower-club.ru/bukety/novyj-god/buket-085,,,
86,B10086,https://flower-club.ru/bukety/novyj-god/buket-086,+,,
87,B10087,https://flower-club.ru/bukety/novyj-god/buket-087,,,
88,B10088,https://flower-club.ru/bukety/novyj-god/buket-088,+,,
89,B10089,https://flower-club.ru/bukety/8-marta/buket-089,,,
90,К10090,https://flower-club.ru/bukety/8-marta/buket-090,+,,
91,B10091,https://flower-club.ru/bukety/skuchayu/buket-091,,,
92,B10092,https://flower-club.ru/bukety/novyj-god/buket-092,+,,
93,B10093,https://flower-club.ru/bukety/buket-093,,,
94,B10094,https://flower-club.ru/bukety/dekoratsii-avto/buket-094,,,
95,B10095,https://flower-club.ru/bukety/8-marta/buket-095,,,
96,B10096,https://flower-club.ru/bukety/traurnye-bukety/buket-096,,,
97,B10097,https://flower-club.ru/bukety/khellouin/buket-097,,,
98,B10098,https://flower-club.ru/bukety/8-marta/buket-098,,,
99,B10099,https://flower-club.ru/bukety/8-marta/buket-099,,,
100,B10100,https://flower-club.ru/bukety/buket-100,,,
101,B10101,https://flower-club.ru/bukety/8-marta/buket-101,,,
102,B10102,https://flower-club.ru/bukety/8-marta/buket-102,,,
103,B10103,https://flower-club.ru/bukety/8-marta/buket-103,,,
104,B10104,https://flower-club.ru/bukety/8-marta/buket-104,,,
105,B10105,https://flower-club.ru/bukety/buket-105,,,
106,B10106,https://flower-club.ru/bukety/buket-106,,,
107,B10107,https://flower-club.ru/bukety/8-marta/buket-107,,,
108,B10108,https://flower-club.ru/bukety/8-marta/buket-108,,,
109,B10109,https://flower-club.ru/bukety/8-marta/buket-109,,,
110,B10110,https://flower-club.ru/bukety/buket-110,,,
111,B10111,https://flower-club.ru/bukety/biznes/buket-111,,,
112,B10112,https://flower-club.ru/bukety/den-rozhdeniya/buket-112,,,
113,B10113,https://flower-club.ru/bukety/den-vlyublennykh/buket-113,,,
114,B10114,https://flower-club.ru/bukety/8-marta/buket-114,,,
115,B10115,https://flower-club.ru/bukety/8-marta/buket-115,,,
116,B10116,https://flower-club.ru/bukety/8-marta/buket-116,,,
117,B10117,https://flower-club.ru/bukety/novyj-god/buket-117,,,
118,B10118,https://flower-club.ru/bukety/8-marta/buket-118,,,
119,B10119,https://flower-club.ru/bukety/buket-119,,,
120,B10120,https://flower-club.ru/bukety/den-pobedy/buket-120,,,
121,B10121,https://flower-club.ru/bukety/buket-121,,,
122,B10122,https://flower-club.ru/bukety/buket-122,,,
123,B10123,https://flower-club.ru/bukety/1-sentyabrya/buket-123,,,
124,B10124,https://flower-club.ru/bukety/8-marta/buket-124,,,
125,B10125,https://flower-club.ru/bukety/den-vlyublennykh/buket-125,,,
126,B10126,https://flower-club.ru/bukety/8-marta/buket-126,,,
127,B10127,https://flower-club.ru/bukety/buket-127,,,
128,B10128,https://flower-club.ru/bukety/8-marta/buket-128,,,
129,B10129,https://flower-club.ru/bukety/8-marta/buket-129,,,
130,B10130,https://flower-club.ru/bukety/traurnye-bukety/buket-130,,,
131,B10131,https://flower-club.ru/bukety/novyj-god/buket-131,,,
132,B10132,https://flower-club.ru/bukety/8-marta/buket-132,,,
133,B10133,https://flower-club.ru/bukety/den-vlyublennykh/buket-133,,,
134,B10134,https://flower-club.ru/bukety/buket-134,,,
